product_id,name,category,brand,price,description,color,size,last_update_time
1,ActiveWear Jackets Black S,Jackets,ActiveWear,280.53,Quality jackets from ActiveWear,Green,L,2024-01-07 22:23:49
2,TrendSet T-Shirts Green XXL,T-Shirts,TrendSet,149.84,Quality t-shirts from TrendSet,Green,XL,2024-03-07 20:44:09
3,TrendSet Dresses White XL,Dresses,TrendSet,28.35,Quality dresses from TrendSet,Navy,XXL,2024-02-12 12:03:07
4,PureThread Jackets Black XS,Jackets,PureThread,91.69,Quality jackets from PureThread,Black,XXL,2024-01-25 07:23:58
5,ClassicCo Sportswear Black S,Sportswear,ClassicCo,172.62,Quality sportswear from ClassicCo,Pink,M,2024-02-25 22:45:10
6,PureThread Jeans Pink XS,Jeans,PureThread,172.45,Quality jeans from PureThread,Navy,M,2024-02-12 07:41:08
7,UrbanStyle Jackets Blue M,Jackets,UrbanStyle,152.9,Quality jackets from UrbanStyle,Pink,M,2024-03-24 06:39:46
8,TrendSet Accessories Black L,Accessories,TrendSet,44.5,Quality accessories from TrendSet,Green,M,2024-03-19 23:44:46
9,TrendSet T-Shirts Black XXL,T-Shirts,TrendSet,306.24,Quality t-shirts from TrendSet,Pink,L,2024-03-24 23:23:15
10,ActiveWear T-Shirts Gray XL,T-Shirts,ActiveWear,268.41,Quality t-shirts from ActiveWear,Pink,XS,2024-02-20 08:03:04
11,ClassicCo Jeans Blue M,Jeans,ClassicCo,161.77,Quality jeans from ClassicCo,Pink,XS,2024-02-23 07:46:28
12,PureThread T-Shirts Red XXL,T-Shirts,PureThread,68.06,Quality t-shirts from PureThread,Black,XL,2024-03-18 14:32:09
13,UrbanStyle Shoes White L,Shoes,UrbanStyle,332.27,Quality shoes from UrbanStyle,Blue,L,2024-01-22 19:35:25
14,ClassicCo Accessories Green L,Accessories,ClassicCo,294.63,Quality accessories from ClassicCo,Pink,S,2024-02-19 09:45:27
15,PureThread Shoes Navy S,Shoes,PureThread,323.83,Quality shoes from PureThread,Blue,XS,2024-01-15 01:02:24
16,TrendSet Jackets Green XS,Jackets,TrendSet,109.75,Quality jackets from TrendSet,Green,XL,2024-02-02 23:58:00
17,TrendSet Dresses Blue L,Dresses,TrendSet,195.42,Quality dresses from TrendSet,Gray,M,2024-03-25 00:12:11
18,PureThread Dresses Pink M,Dresses,PureThread,306.32,Quality dresses from PureThread,Red,XL,2024-02-06 14:57:47
19,ActiveWear Shoes Navy XS,Shoes,ActiveWear,121.59,Quality shoes from ActiveWear,Pink,XXL,2024-03-24 02:39:17
20,TrendSet Sportswear Blue L,Sportswear,TrendSet,338.22,Quality sportswear from TrendSet,Blue,XL,2024-02-07 11:37:43
21,ClassicCo Dresses White L,Dresses,ClassicCo,48.4,Quality dresses from ClassicCo,Pink,XS,2024-03-25 10:32:55
22,ActiveWear Accessories Blue XS,Accessories,ActiveWear,172.28,Quality accessories from ActiveWear,Green,M,2024-02-09 19:19:09
23,TrendSet Dresses White M,Dresses,TrendSet,300.53,Quality dresses from TrendSet,Navy,M,2024-03-04 02:13:44
24,TrendSet Accessories Black XL,Accessories,TrendSet,37.92,Quality accessories from TrendSet,Green,S,2024-03-25 16:47:59
25,UrbanStyle Accessories White XXL,Accessories,UrbanStyle,250.8,Quality accessories from UrbanStyle,White,L,2024-02-12 03:13:36
